filename,label,hands,preprocess,confidence,quality_score,status,reasons
! (42).png,!,1,2x_clahe,0.8390562534332275,100,ACCEPT,
! (43).png,!,2,2x,0.9911824762821198,100,ACCEPT,
! (44).png,!,2,original,0.8070402145385742,100,ACCEPT,
! (45).png,!,1,original,0.991234302520752,100,ACCEPT,
! (46).png,!,1,original,0.9874281883239746,100,ACCEPT,
! (47).png,!,1,3x,0.9874961376190186,100,ACCEPT,
! (48).png,!,1,2x_clahe,0.9915937185287476,100,ACCEPT,
! (49).png,!,1,2x,0.9917894005775452,100,ACCEPT,
! (5).png,!,0,,0,0,REJECT,el_bulunamadi
! (50).png,!,1,original,0.9588314890861511,100,ACCEPT,
! (51).png,!,2,original,0.9951827526092529,85,ACCEPT,border_supheli
! (52).png,!,1,original,0.9843785166740417,100,ACCEPT,
! (53).png,!,2,original,0.9876674711704254,65,REVIEW,cok_fazla_border
! (54).png,!,0,,0,0,REJECT,el_bulunamadi
! (55).png,!,1,2x,0.6690162420272827,100,ACCEPT,
! (56).png,!,0,,0,0,REJECT,el_bulunamadi
! (57).png,!,1,2x_clahe,0.9992250204086304,85,ACCEPT,border_supheli
! (58).png,!,2,original,0.9985078275203705,85,ACCEPT,border_supheli
! (59).png,!,2,original,0.9975557029247284,100,ACCEPT,
! (6).png,!,0,,0,0,REJECT,el_bulunamadi
! (60).png,!,0,,0,0,REJECT,el_bulunamadi
! (61).png,!,2,2x_clahe,0.803827166557312,85,ACCEPT,spread_supheli
! (62).png,!,1,2x_clahe,0.6274640560150146,100,ACCEPT,
! (63).png,!,0,,0,0,REJECT,el_bulunamadi
! (64).png,!,0,,0,0,REJECT,el_bulunamadi
! (65).png,!,0,,0,0,REJECT,el_bulunamadi
! (66).png,!,0,,0,0,REJECT,el_bulunamadi
! (67).png,!,0,,0,0,REJECT,el_bulunamadi
! (68).png,!,0,,0,0,REJECT,el_bulunamadi
! (69).png,!,0,,0,0,REJECT,el_bulunamadi
! (70).png,!,0,,0,0,REJECT,el_bulunamadi
! (71).png,!,0,,0,0,REJECT,el_bulunamadi
! (72).png,!,0,,0,0,REJECT,el_bulunamadi
! (73).png,!,0,,0,0,REJECT,el_bulunamadi
! (74).png,!,1,2x,0.9479691982269287,20,REJECT,landmark_yigilmis|dusuk_spread
! (75).png,!,0,,0,0,REJECT,el_bulunamadi
! (77).png,!,0,,0,0,REJECT,el_bulunamadi
! (78).png,!,2,2x,0.9565559923648834,85,ACCEPT,spread_supheli
! (79).png,!,2,original,0.8995368182659149,45,REJECT,spread_supheli|landmark_alani_kucuk|dusuk_spread
! (80).png,!,1,original,0.9983989596366882,100,ACCEPT,
! (81).png,!,0,,0,0,REJECT,el_bulunamadi
! (82).png,!,0,,0,0,REJECT,el_bulunamadi
! (83).png,!,1,original,0.9750033020973206,85,ACCEPT,spread_supheli
! (84).png,!,0,,0,0,REJECT,el_bulunamadi
! (85).png,!,1,3x,0.7681781649589539,55,REVIEW,spread_supheli|palm_cok_kucuk
! (86).png,!,1,3x,0.9989749789237976,100,ACCEPT,
! (87).png,!,1,2x_clahe,0.9497055411338806,65,REVIEW,dusuk_spread
! (88).png,!,0,,0,0,REJECT,el_bulunamadi
! (89).png,!,1,2x,0.7156323790550232,85,ACCEPT,spread_supheli
! (90).png,!,0,,0,0,REJECT,el_bulunamadi
! (91).png,!,2,original,0.8891442716121674,100,ACCEPT,
! (92).png,!,2,original,0.94921875,100,ACCEPT,
! (93).png,!,2,2x_clahe,0.7728041410446167,100,ACCEPT,
! (94).png,!,2,3x,0.8215555250644684,100,ACCEPT,
! (95).png,!,2,2x_clahe,0.8613583743572235,100,ACCEPT,
! (96).png,!,2,original,0.8364828526973724,100,ACCEPT,
! (97).png,!,1,2x,0.9740510582923889,100,ACCEPT,
! (98).png,!,2,original,0.734870433807373,100,ACCEPT,
! (99).png,!,1,3x,0.9765979051589966,100,ACCEPT,
+ (1).png,+,2,original,0.9938413202762604,100,ACCEPT,
+ (10).png,+,2,original,0.9959825873374939,100,ACCEPT,
+ (100).png,+,2,2x,0.7800926864147186,80,ACCEPT,landmark_alani_kucuk
+ (101).png,+,2,original,0.9888004958629608,100,ACCEPT,
+ (102).png,+,2,original,0.8726867735385895,100,ACCEPT,
+ (103).png,+,2,original,0.9765955209732056,100,ACCEPT,
+ (104).png,+,2,original,0.9878737032413483,100,ACCEPT,
+ (105).png,+,2,original,0.8951838314533234,100,ACCEPT,
+ (11).png,+,2,3x,0.9910191595554352,100,ACCEPT,
+ (12).png,+,1,2x_clahe,0.9755975008010864,100,ACCEPT,
+ (13).png,+,2,original,0.9611247777938843,100,ACCEPT,
+ (14).png,+,2,original,0.9705418348312378,100,ACCEPT,
+ (15).png,+,2,original,0.9882712364196777,100,ACCEPT,
+ (16).png,+,0,,0,0,REJECT,el_bulunamadi
+ (17).png,+,1,original,0.9781611561775208,100,ACCEPT,
+ (18).png,+,0,,0,0,REJECT,el_bulunamadi
+ (19).png,+,1,original,0.9976555109024048,100,ACCEPT,
+ (2).png,+,2,original,0.9970762729644775,100,ACCEPT,
+ (20).png,+,1,2x_clahe,0.990519642829895,85,ACCEPT,border_supheli
+ (21).png,+,0,,0,0,REJECT,el_bulunamadi
+ (22).png,+,1,2x,0.9715931415557861,45,REJECT,landmark_alani_kucuk|dusuk_spread
+ (23).png,+,0,,0,0,REJECT,el_bulunamadi
+ (24).png,+,1,original,0.998516321182251,100,ACCEPT,
+ (25).png,+,0,,0,0,REJECT,el_bulunamadi
+ (26).png,+,1,2x,0.7816950082778931,100,ACCEPT,
+ (27).png,+,1,original,0.9911432266235352,100,ACCEPT,
+ (28).png,+,1,3x,0.9946349263191223,100,ACCEPT,
+ (29).png,+,2,original,0.7658889293670654,100,ACCEPT,
+ (3).png,+,1,2x,0.9961478114128113,100,ACCEPT,
+ (30).png,+,1,2x,0.9912113547325134,100,ACCEPT,
+ (31).png,+,1,original,0.9926613569259644,100,ACCEPT,
+ (32).png,+,1,2x_clahe,0.998304009437561,100,ACCEPT,
+ (33).png,+,1,2x_clahe,0.996832549571991,100,ACCEPT,
+ (34).png,+,2,original,0.9984511733055115,100,ACCEPT,
+ (35).png,+,2,original,0.9964798092842102,100,ACCEPT,
+ (36).png,+,1,2x_clahe_sharp,0.999604344367981,100,ACCEPT,
+ (37).png,+,1,original,0.9993858337402344,100,ACCEPT,
+ (38).png,+,1,2x_clahe_sharp,0.9997016191482544,100,ACCEPT,
+ (39).png,+,1,2x_clahe_sharp,0.9996256232261658,100,ACCEPT,
+ (4).png,+,1,2x_clahe_sharp,0.9834607839584351,100,ACCEPT,
+ (40).png,+,1,3x,0.977114200592041,100,ACCEPT,
+ (41).png,+,2,original,0.9640649259090424,100,ACCEPT,
+ (42).png,+,1,original,0.9901965856552124,100,ACCEPT,
+ (43).png,+,2,original,0.946863442659378,100,ACCEPT,
+ (44).png,+,2,original,0.9461185932159424,100,ACCEPT,
+ (45).png,+,2,original,0.9424237310886383,100,ACCEPT,
+ (46).png,+,1,3x,0.9979541897773743,100,ACCEPT,
+ (47).png,+,1,3x,0.9923503994941711,100,ACCEPT,
+ (48).png,+,1,2x,0.9644414186477661,100,ACCEPT,
+ (49).png,+,1,3x,0.9335300326347351,100,ACCEPT,
+ (5).png,+,2,original,0.9911412298679352,100,ACCEPT,
+ (50).png,+,1,original,0.9980928897857666,100,ACCEPT,
+ (51).png,+,2,original,0.9964110553264618,100,ACCEPT,
+ (52).png,+,2,original,0.9973434507846832,100,ACCEPT,
+ (53).png,+,2,original,0.996086984872818,100,ACCEPT,
+ (54).png,+,2,original,0.997864156961441,100,ACCEPT,
+ (55).png,+,2,original,0.9964965879917145,100,ACCEPT,
+ (56).png,+,2,original,0.9980051815509796,100,ACCEPT,
+ (57).png,+,2,original,0.9982977509498596,100,ACCEPT,
+ (58).png,+,2,original,0.9985055327415466,100,ACCEPT,
+ (59).png,+,2,original,0.9979154169559479,100,ACCEPT,
+ (6).png,+,1,2x,0.9874176383018494,100,ACCEPT,
+ (60).png,+,2,original,0.9982388615608215,100,ACCEPT,
+ (61).png,+,1,2x,0.9887878894805908,45,REJECT,landmark_alani_kucuk|dusuk_spread
+ (62).png,+,0,,0,0,REJECT,el_bulunamadi
+ (63).png,+,1,original,0.9488456845283508,45,REJECT,landmark_alani_kucuk|dusuk_spread
+ (64).png,+,0,,0,0,REJECT,el_bulunamadi
+ (65).png,+,0,,0,0,REJECT,el_bulunamadi
+ (66).png,+,0,,0,0,REJECT,el_bulunamadi
+ (67).png,+,1,3x,0.9739142060279846,100,ACCEPT,
+ (68).png,+,0,,0,0,REJECT,el_bulunamadi
+ (69).png,+,1,2x,0.8860691785812378,45,REJECT,landmark_alani_kucuk|dusuk_spread
+ (7).png,+,2,original,0.9954057335853577,100,ACCEPT,
+ (70).png,+,1,2x_clahe_sharp,0.9967213273048401,85,ACCEPT,spread_supheli
+ (71).png,+,1,2x,0.8303007483482361,100,ACCEPT,
+ (72).png,+,1,original,0.8237217664718628,100,ACCEPT,
+ (73).png,+,0,,0,0,REJECT,el_bulunamadi
+ (74).png,+,1,original,0.7165070176124573,100,ACCEPT,
+ (75).png,+,1,3x,0.6546235084533691,100,ACCEPT,
+ (77).png,+,0,,0,0,REJECT,el_bulunamadi
+ (78).png,+,1,3x,0.6310281753540039,45,REJECT,landmark_alani_kucuk|dusuk_spread
+ (79).png,+,0,,0,0,REJECT,el_bulunamadi
+ (8).png,+,2,2x_clahe_sharp,0.9755337536334991,100,ACCEPT,
+ (80).png,+,0,,0,0,REJECT,el_bulunamadi
+ (81).png,+,1,2x_clahe,0.9574872851371765,45,REJECT,landmark_alani_kucuk|dusuk_spread
+ (82).png,+,0,,0,0,REJECT,el_bulunamadi
+ (83).png,+,0,,0,0,REJECT,el_bulunamadi
+ (84).png,+,1,2x_clahe,0.9119684100151062,20,REJECT,landmark_yigilmis|dusuk_spread
+ (85).png,+,0,,0,0,REJECT,el_bulunamadi
+ (86).png,+,0,,0,0,REJECT,el_bulunamadi
+ (87).png,+,0,,0,0,REJECT,el_bulunamadi
+ (88).png,+,0,,0,0,REJECT,el_bulunamadi
+ (89).png,+,0,,0,0,REJECT,el_bulunamadi
+ (9).png,+,2,original,0.9905410408973694,100,ACCEPT,
+ (90).png,+,0,,0,0,REJECT,el_bulunamadi
+ (91).png,+,2,original,0.9961142539978027,85,ACCEPT,border_supheli
+ (92).png,+,2,original,0.9987651109695435,85,ACCEPT,border_supheli|border_supheli
+ (93).png,+,1,2x,0.9972620010375977,85,ACCEPT,border_supheli
+ (94).png,+,2,original,0.9552043974399567,85,ACCEPT,border_supheli
+ (95).png,+,2,original,0.9844138026237488,85,ACCEPT,border_supheli
+ (96).png,+,2,original,0.9724719822406769,100,ACCEPT,
+ (97).png,+,2,original,0.9842899441719055,100,ACCEPT,
+ (98).png,+,2,original,0.9952590465545654,100,ACCEPT,
+ (99).png,+,2,original,0.9835933148860931,100,ACCEPT,
", (1).png",",",1,2x_clahe,0.9991059303283691,100,ACCEPT,
", (10).png",",",1,2x_clahe_sharp,0.9993902444839478,100,ACCEPT,
", (100).png",",",2,original,0.9798246026039124,100,ACCEPT,
", (101).png",",",1,2x_clahe,0.9778507351875305,100,ACCEPT,
", (102).png",",",1,original,0.9089887142181396,100,ACCEPT,
", (103).png",",",1,3x,0.6368262767791748,100,ACCEPT,
", (104).png",",",1,original,0.9146288633346558,100,ACCEPT,
", (105).png",",",1,2x,0.9317854642868042,100,ACCEPT,
", (11).png",",",1,2x,0.9998688697814941,100,ACCEPT,
", (12).png",",",1,original,0.9978781938552856,100,ACCEPT,
", (13).png",",",1,2x_clahe_sharp,0.7288322448730469,100,ACCEPT,
", (14).png",",",0,,0,0,REJECT,el_bulunamadi
", (15).png",",",0,,0,0,REJECT,el_bulunamadi
", (16).png",",",1,2x_clahe,0.9839948415756226,100,ACCEPT,
", (17).png",",",2,original,0.9761504828929901,100,ACCEPT,
", (18).png",",",1,original,0.9890793561935425,100,ACCEPT,
", (19).png",",",1,2x,0.9790490865707397,100,ACCEPT,
", (2).png",",",0,,0,0,REJECT,el_bulunamadi
", (20).png",",",2,original,0.8956705629825592,100,ACCEPT,
", (21).png",",",1,3x,0.9916744828224182,100,ACCEPT,
", (22).png",",",1,original,0.9595999121665955,100,ACCEPT,
", (23).png",",",1,original,0.9384448528289795,100,ACCEPT,
", (24).png",",",1,original,0.9590195417404175,100,ACCEPT,
", (25).png",",",2,original,0.9924570620059967,100,ACCEPT,
", (26).png",",",2,original,0.9956981539726257,100,ACCEPT,
", (27).png",",",2,original,0.994618833065033,100,ACCEPT,
", (28).png",",",0,,0,0,REJECT,el_bulunamadi
", (29).png",",",1,2x,0.9749504327774048,100,ACCEPT,
", (3).png",",",1,2x_clahe,0.9997599124908447,100,ACCEPT,
", (30).png",",",1,3x,0.9596278667449951,100,ACCEPT,
", (31).png",",",1,original,0.9913479089736938,100,ACCEPT,
", (32).png",",",2,original,0.9844893515110016,100,ACCEPT,
", (33).png",",",1,original,0.9867371916770935,100,ACCEPT,
", (34).png",",",2,original,0.9720945358276367,100,ACCEPT,
", (35).png",",",2,original,0.9930749237537384,100,ACCEPT,
", (36).png",",",1,2x_clahe,0.9922940135002136,100,ACCEPT,
", (37).png",",",1,2x,0.911222517490387,100,ACCEPT,
", (38).png",",",2,original,0.8585200011730194,100,ACCEPT,
", (39).png",",",1,original,0.9620933532714844,100,ACCEPT,
", (4).png",",",1,2x,0.999240517616272,100,ACCEPT,
", (40).png",",",0,,0,0,REJECT,el_bulunamadi
", (41).png",",",2,original,0.9536827206611633,100,ACCEPT,
", (42).png",",",2,original,0.9235451519489288,100,ACCEPT,
", (43).png",",",2,original,0.958840399980545,100,ACCEPT,
", (44).png",",",1,2x,0.9689211845397949,100,ACCEPT,
", (45).png",",",2,original,0.969536542892456,100,ACCEPT,
", (46).png",",",1,2x,0.9561635851860046,100,ACCEPT,
", (47).png",",",1,3x,0.9904547333717346,100,ACCEPT,
", (48).png",",",2,original,0.9732146561145782,100,ACCEPT,
", (49).png",",",2,original,0.8841805458068848,100,ACCEPT,
", (5).png",",",1,original,0.9956711530685425,100,ACCEPT,
", (50).png",",",2,original,0.8755768537521362,100,ACCEPT,
", (51).png",",",0,,0,0,REJECT,el_bulunamadi
", (52).png",",",1,2x,0.995600163936615,100,ACCEPT,
", (53).png",",",2,original,0.997621089220047,100,ACCEPT,
", (54).png",",",2,original,0.991236537694931,100,ACCEPT,
", (55).png",",",1,original,0.9980049729347229,100,ACCEPT,
", (56).png",",",1,original,0.9985026717185974,100,ACCEPT,
", (57).png",",",1,original,0.99834805727005,100,ACCEPT,
", (58).png",",",2,original,0.9688250422477722,100,ACCEPT,
", (59).png",",",1,original,0.9993543028831482,100,ACCEPT,
", (6).png",",",1,original,0.9977712631225586,100,ACCEPT,
", (60).png",",",1,original,0.999141275882721,100,ACCEPT,
", (61).png",",",1,2x_clahe,0.816057562828064,85,ACCEPT,spread_supheli
", (62).png",",",0,,0,0,REJECT,el_bulunamadi
", (63).png",",",1,3x,0.9892791509628296,45,REJECT,landmark_alani_kucuk|dusuk_spread
", (64).png",",",0,,0,0,REJECT,el_bulunamadi
", (65).png",",",2,original,0.995185524225235,100,ACCEPT,
", (66).png",",",0,,0,0,REJECT,el_bulunamadi
", (67).png",",",0,,0,0,REJECT,el_bulunamadi
", (68).png",",",1,3x,0.9251905679702759,100,ACCEPT,
", (69).png",",",0,,0,0,REJECT,el_bulunamadi
", (7).png",",",0,,0,0,REJECT,el_bulunamadi
", (70).png",",",1,original,0.9838268756866455,100,ACCEPT,
", (71).png",",",2,original,0.7737933099269867,45,REJECT,landmark_alani_kucuk|dusuk_spread
", (72).png",",",2,original,0.9474101364612579,100,ACCEPT,
", (73).png",",",1,3x,0.9928405284881592,100,ACCEPT,
", (74).png",",",1,original,0.9991387128829956,100,ACCEPT,
", (75).png",",",1,3x,0.8689098954200745,45,REJECT,landmark_alani_kucuk|dusuk_spread
", (77).png",",",0,,0,0,REJECT,el_bulunamadi
", (78).png",",",1,original,0.9968244433403015,100,ACCEPT,
", (79).png",",",0,,0,0,REJECT,el_bulunamadi
", (8).png",",",1,2x_clahe,0.987691342830658,85,ACCEPT,spread_supheli
", (80).png",",",0,,0,0,REJECT,el_bulunamadi
", (81).png",",",0,,0,0,REJECT,el_bulunamadi
", (82).png",",",0,,0,0,REJECT,el_bulunamadi
", (83).png",",",2,2x_clahe_sharp,0.9187585413455963,45,REJECT,spread_supheli|landmark_alani_kucuk|dusuk_spread
", (84).png",",",2,2x,0.9378042221069336,20,REJECT,spread_supheli|landmark_yigilmis|dusuk_spread
", (85).png",",",1,2x_clahe,0.9403708577156067,20,REJECT,landmark_yigilmis|dusuk_spread
", (86).png",",",0,,0,0,REJECT,el_bulunamadi
", (87).png",",",2,2x,0.9569770991802216,20,REJECT,landmark_yigilmis|dusuk_spread
", (88).png",",",0,,0,0,REJECT,el_bulunamadi
", (89).png",",",1,3x,0.980278730392456,100,ACCEPT,
", (9).png",",",1,original,0.8014774918556213,100,ACCEPT,
", (90).png",",",1,3x,0.9992004632949829,100,ACCEPT,
", (91).png",",",1,3x,0.9947032332420349,100,ACCEPT,
", (92).png",",",2,original,0.7818640768527985,45,REJECT,landmark_alani_kucuk|dusuk_spread
", (93).png",",",1,original,0.9994098544120789,100,ACCEPT,
", (94).png",",",2,original,0.9977569282054901,100,ACCEPT,
", (95).png",",",2,original,0.8360062837600708,45,REJECT,landmark_alani_kucuk|dusuk_spread
", (96).png",",",1,3x,0.9990856647491455,100,ACCEPT,
", (97).png",",",1,2x_clahe,0.9317682981491089,100,ACCEPT,
", (98).png",",",1,3x,0.8765214085578918,100,ACCEPT,
", (99).png",",",2,original,0.998168021440506,100,ACCEPT,
; (1).png,;,2,original,0.9991929531097412,100,ACCEPT,
; (10).png,;,1,original,0.9996798038482666,100,ACCEPT,
; (100).png,;,1,original,0.9972682595252991,100,ACCEPT,
; (101).png,;,0,,0,0,REJECT,el_bulunamadi
; (102).png,;,1,2x,0.9976820945739746,100,ACCEPT,
; (103).png,;,2,original,0.9958541691303253,100,ACCEPT,
; (104).png,;,1,original,0.9971965551376343,85,ACCEPT,border_supheli
; (105).png,;,2,original,0.9942868947982788,100,ACCEPT,
; (11).png,;,0,,0,0,REJECT,el_bulunamadi
; (12).png,;,1,original,0.9988958239555359,100,ACCEPT,
; (13).png,;,2,original,0.9954609274864197,100,ACCEPT,
; (14).png,;,2,original,0.9966528713703156,100,ACCEPT,
; (15).png,;,2,original,0.9950805604457855,100,ACCEPT,
; (16).png,;,2,original,0.99474036693573,100,ACCEPT,
; (17).png,;,2,original,0.9950090944766998,100,ACCEPT,
; (18).png,;,2,original,0.9933865666389465,100,ACCEPT,
; (19).png,;,2,original,0.9925787448883057,85,ACCEPT,border_supheli
; (2).png,;,0,,0,0,REJECT,el_bulunamadi
; (20).png,;,2,original,0.991292417049408,100,ACCEPT,
; (21).png,;,2,original,0.8236419856548309,65,REVIEW,cok_fazla_border
; (22).png,;,2,original,0.9416159093379974,65,REVIEW,cok_fazla_border
; (23).png,;,1,original,0.9991448521614075,100,ACCEPT,
; (24).png,;,2,original,0.9378251731395721,65,REVIEW,cok_fazla_border
; (25).png,;,1,2x_clahe,0.9996752738952637,100,ACCEPT,
; (26).png,;,2,original,0.9942408800125122,100,ACCEPT,
; (27).png,;,2,original,0.9775274693965912,65,REVIEW,cok_fazla_border
; (28).png,;,2,original,0.9817632436752319,85,ACCEPT,border_supheli
; (29).png,;,2,original,0.9951959848403931,85,ACCEPT,border_supheli
; (3).png,;,1,3x,0.9956013560295105,100,ACCEPT,
; (30).png,;,2,original,0.9900417923927307,100,ACCEPT,
; (31).png,;,0,,0,0,REJECT,el_bulunamadi
; (32).png,;,0,,0,0,REJECT,el_bulunamadi
; (33).png,;,0,,0,0,REJECT,el_bulunamadi
; (34).png,;,0,,0,0,REJECT,el_bulunamadi
; (35).png,;,1,original,0.982947587966919,100,ACCEPT,
; (36).png,;,0,,0,0,REJECT,el_bulunamadi
; (37).png,;,1,2x,0.8880748152732849,100,ACCEPT,
; (38).png,;,0,,0,0,REJECT,el_bulunamadi
; (39).png,;,1,2x_clahe_sharp,0.9517829418182373,20,REJECT,landmark_yigilmis|dusuk_spread
; (4).png,;,1,3x,0.9961639642715454,100,ACCEPT,
; (40).png,;,1,2x_clahe_sharp,0.974445641040802,45,REJECT,landmark_alani_kucuk|dusuk_spread
; (41).png,;,0,,0,0,REJECT,el_bulunamadi
; (42).png,;,0,,0,0,REJECT,el_bulunamadi
; (43).png,;,1,2x_clahe_sharp,0.9754490256309509,30,REJECT,landmark_alani_kucuk|dusuk_spread|border_supheli
; (44).png,;,0,,0,0,REJECT,el_bulunamadi
; (45).png,;,0,,0,0,REJECT,el_bulunamadi
; (46).png,;,1,3x,0.9606902003288269,100,ACCEPT,
; (47).png,;,2,original,0.8453289866447449,100,ACCEPT,
; (48).png,;,1,original,0.9998161792755127,85,ACCEPT,border_supheli
; (49).png,;,1,2x_clahe,0.9981312155723572,100,ACCEPT,
; (5).png,;,1,original,0.9874971508979797,100,ACCEPT,
; (50).png,;,2,original,0.9957512319087982,100,ACCEPT,
; (51).png,;,2,original,0.952619880437851,100,ACCEPT,
; (52).png,;,2,original,0.9893456101417542,100,ACCEPT,
; (53).png,;,2,original,0.8392952978610992,85,ACCEPT,border_supheli
; (54).png,;,1,original,0.6456445455551147,100,ACCEPT,
; (55).png,;,2,original,0.9858197867870331,100,ACCEPT,
; (56).png,;,2,original,0.9936119318008423,100,ACCEPT,
; (57).png,;,2,original,0.975149542093277,100,ACCEPT,
; (58).png,;,1,2x_clahe,0.9995742440223694,100,ACCEPT,
; (59).png,;,2,original,0.9976282715797424,100,ACCEPT,
; (6).png,;,1,3x,0.9952811002731323,100,ACCEPT,
; (60).png,;,1,3x,0.9927771091461182,100,ACCEPT,
; (61).png,;,0,,0,0,REJECT,el_bulunamadi
; (62).png,;,0,,0,0,REJECT,el_bulunamadi
; (63).png,;,0,,0,0,REJECT,el_bulunamadi
; (64).png,;,0,,0,0,REJECT,el_bulunamadi
; (65).png,;,1,original,0.9996907114982605,100,ACCEPT,
; (66).png,;,0,,0,0,REJECT,el_bulunamadi
; (67).png,;,1,2x,0.8531303405761719,20,REJECT,landmark_yigilmis|dusuk_spread
; (68).png,;,2,original,0.9918744266033173,100,ACCEPT,
; (69).png,;,0,,0,0,REJECT,el_bulunamadi
; (7).png,;,1,3x,0.980131208896637,100,ACCEPT,
; (70).png,;,1,2x_clahe_sharp,0.9038292169570923,65,REVIEW,landmark_alani_kucuk|spread_supheli
; (71).png,;,0,,0,0,REJECT,el_bulunamadi
; (72).png,;,0,,0,0,REJECT,el_bulunamadi
; (73).png,;,1,2x_clahe,0.710668683052063,100,ACCEPT,
; (74).png,;,0,,0,0,REJECT,el_bulunamadi
; (75).png,;,0,,0,0,REJECT,el_bulunamadi
; (77).png,;,2,2x,0.9207335710525513,100,ACCEPT,
; (78).png,;,0,,0,0,REJECT,el_bulunamadi
; (79).png,;,2,original,0.9324360191822052,100,ACCEPT,
; (8).png,;,0,,0,0,REJECT,el_bulunamadi
; (80).png,;,2,original,0.9961972534656525,100,ACCEPT,
; (81).png,;,2,original,0.7860729992389679,100,ACCEPT,
; (82).png,;,1,3x,0.9961600303649902,100,ACCEPT,
; (83).png,;,2,original,0.9743551015853882,100,ACCEPT,
; (84).png,;,1,3x,0.9503377079963684,100,ACCEPT,
; (85).png,;,2,original,0.8261443078517914,100,ACCEPT,
; (86).png,;,2,original,0.9725597500801086,100,ACCEPT,
; (87).png,;,1,2x,0.9665161371231079,100,ACCEPT,
; (88).png,;,1,3x,0.5869264602661133,100,ACCEPT,
; (89).png,;,2,2x,0.8198533356189728,100,ACCEPT,
; (9).png,;,1,original,0.9809771180152893,100,ACCEPT,
; (90).png,;,1,2x,0.9945520758628845,100,ACCEPT,
; (91).png,;,1,2x_clahe,0.5216051340103149,85,ACCEPT,spread_supheli
; (92).png,;,2,original,0.9948550760746002,100,ACCEPT,
; (93).png,;,2,original,0.9963887929916382,100,ACCEPT,
; (94).png,;,2,original,0.9909393191337585,100,ACCEPT,
; (95).png,;,2,2x_clahe,0.8191140294075012,85,ACCEPT,spread_supheli
; (96).png,;,1,2x_clahe,0.9428299069404602,100,ACCEPT,
; (97).png,;,1,2x_clahe,0.9819290041923523,100,ACCEPT,
; (98).png,;,1,2x_clahe,0.9943880438804626,100,ACCEPT,
; (99).png,;,0,,0,0,REJECT,el_bulunamadi
= (1).png,=,1,2x_clahe_sharp,0.9158776998519897,100,ACCEPT,
= (10).png,=,1,original,0.922818124294281,100,ACCEPT,
= (100).png,=,1,2x_clahe,0.9057683348655701,100,ACCEPT,
= (101).png,=,0,,0,0,REJECT,el_bulunamadi
= (102).png,=,1,original,0.8843609690666199,100,ACCEPT,
= (103).png,=,1,2x_clahe,0.9585531949996948,100,ACCEPT,
= (104).png,=,1,2x_clahe,0.8260886073112488,100,ACCEPT,
= (105).png,=,0,,0,0,REJECT,el_bulunamadi
= (11).png,=,1,2x,0.9681885838508606,100,ACCEPT,
